Designator,Mid X,Mid Y,Rotation,Layer
C1,15.925,14.625,0.0,top
C2,16.1,20.325,0.0,top
C3,6.35,22.325,270.0,top
C4,6.7,8.8,180.0,top
C5,5.0,10.3,0.0,top
C6,14.598,39.724,270.0,top
C7,15.487,29.704,270.0,top
C8,15.487,26.656,90.0,top
C9,6.0,42.6,0.0,top
D1,13.5,42.0,0.0,top
D2,13.5,30.847,0.0,top
D3,13.455,25.132,0.0,top
D4,10.8,42.0,180.0,top
D5,3.15,6.0,270.0,top
J1,7.4,15.75,90.0,top
R1,7.85,22.25,270.0,top
R10,15.487,32.752,90.0,top
R11,17.011,29.704,270.0,top
R12,20.5,43.0,90.0,top
R13,9.3,52.1,90.0,top
R14,15.487,23.608,270.0,top
R15,17.011,26.656,90.0,top
R16,6.0,44.1,180.0,top
R2,8.25,4.8,90.0,top
R3,6.65,4.0,270.0,top
R4,19.93,10.004,0.0,top
R5,14.596,9.897,180.0,top
R6,15.614,42.785,90.0,top
R7,16.122,39.737,270.0,top
R8,11.931,36.943,180.0,top
R9,9.3,49.1,270.0,top
U1,16.15,17.4875,90.0,top
U3,5.65,6.8,180.0,top
U4,4.3,22.1,270.0,top
U5,17.1,53.2,0.0,top
USB-C1,17.1,4.4,270.0,top
s1,6.35,39.1,90.0,top
s2,23.7,42.1,90.0,top
s4,17.1,22.5,0.0,bottom
s6,17.1,32.5,0.0,bottom
s8,17.1,42.5,0.0,bottom
