Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,198.682,2.499,0,bottom
C2,1u,C_0603_1608Metric,193.843,5.293,-90,bottom
R1,5k1,R_0603_1608Metric,197.163,13.106,180,bottom
R2,5.2k,R_0603_1608Metric,168.543,15.599,-90,bottom
R3,1.1k,R_0603_1608Metric,170.1,15.599,-90,bottom
R4,180R,R_0603_1608Metric,167,15.599,-90,bottom
R5,5k1,R_0603_1608Metric,197.163,10.106,180,bottom
U1,MIC5504-3.3YM5,SOT-23-5,196.7585,5.105,180,bottom
U2,ESP32-C3-MINI-1-N4,ESP32-­C3-­MINI­-1,167.743,5.5655,0,bottom
USB-C1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12),203.633,11.861,0,bottom
D1,LED_ARBG,DIODFN4_100X100X35L29X29N,5,19.999,0,top
D2,LED_ARBG,DIODFN4_100X100X35L29X29N,50,19.999,0,top
D3,LED_ARBG,DIODFN4_100X100X35L29X29N,95,19.999,0,top
D4,LED_ARBG,DIODFN4_100X100X35L29X29N,140,19.999,0,top
D5,LED_ARBG,DIODFN4_100X100X35L29X29N,185,19.999,0,top
