LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price,Product Link
C2838502,ESP32-C3-MINI-1-N4,Espressif Systems,"SMD,13.2x16.6mm",," SMD,13.2x16.6mm  RF Modules ROHS",yes,2,1,2.4291,4.86,https://assets.lcsc.com/images/lcsc/96x96/20230120_Espressif-Systems-ESP32-C3-MINI-1-N4_C2838502_front.jpg
C88419,MIC5504-3.3YM5-TR,Microchip Tech,SOT-23-5,,300mA 60dB@(1kHz) Fixed 3.3V~3.3V Positive 5.5V SOT-23-5  Linear Voltage Regulators (LDO) ROHS,yes,10,5,0.2573,2.57,https://assets.lcsc.com/images/lcsc/96x96/20221231_Microchip-Tech-MIC5504-3-3YM5-TR_C88419_front.jpg
C699552,SGM6603-3.3YN6G/TR,SGMICRO,SOT-23-6,," SOT-23-6  Operational Amplifier ROHS",yes,1,1,0.5532,0.55,https://assets.lcsc.com/images/lcsc/96x96/20230131_SGMICRO-SGM6603-3-3YN6G-TR_C699552_front.jpg
C5249637,1N4148WT,ElecSuper,SOD-523,,0.15W 0.9V 4ns SOD-523  Switching Diode ROHS,yes,5,5,0.0125,0.06,https://assets.lcsc.com/images/lcsc/96x96/20230125_ElecSuper-1N4148WT_C5249637_front.jpg
C2074443,MCT06030C5101FP500,Vishay Intertech,0603,,125mW Thin Film Resistor ±50ppm/℃ ±1% 5.1kΩ 0603  Chip Resistor - Surface Mount ROHS,yes,5,5,0.0922,0.46,https://assets.lcsc.com/images/lcsc/96x96/20230129_Vishay-Intertech-MCT06030C5101FP500_C2074443_front.jpg
C705816,RT0603BRE07180RL,YAGEO,0603,,100mW Thin Film Resistor ±50ppm/℃ ±0.1% 180Ω 0603  Chip Resistor - Surface Mount ROHS,yes,20,20,0.0184,0.37,https://assets.lcsc.com/images/lcsc/96x96/20230202_YAGEO-RT0603BRE07180RL_C705816_front.jpg
C543640,ERA3AEB112V,PANASONIC,0603,,100mW Thin Film Resistor ±0.1% ±25ppm/℃ 1.1kΩ 0603  Chip Resistor - Surface Mount ROHS,yes,5,5,0.0557,0.28,https://assets.lcsc.com/images/lcsc/96x96/20230104_PANASONIC-ERA3AEB112V_C543640_front.jpg
C509310,ESR01MZPF1002,ROHM Semicon,0402,,200mW Thick Film Resistors ±100ppm/℃ ±1% 10kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,5,5,0.0622,0.31,https://assets.lcsc.com/images/lcsc/96x96/20230103_ROHM-Semicon-ESR01MZPF1002_C509310_front.jpg
C328418,PTFR0402B1K00N9,RESI,0402,,60mW Thin Film Resistor ±0.1% ±10ppm/℃ 1kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,5,5,0.1012,0.51,https://assets.lcsc.com/images/lcsc/96x96/20230109_RESI-PTFR0402B1K00N9_C328418_front.jpg
C427259,ERJPA2F1004X,PANASONIC,0402,,1/5W Thick Film Resistors ±100ppm/℃ ±1% 1MΩ 0402  Chip Resistor - Surface Mount ROHS,yes,10,10,0.0331,0.33,https://assets.lcsc.com/images/lcsc/96x96/20230201_PANASONIC-ERJPA2F1004X_C427259_front.jpg
C2692696,PTFR0402B5K10P9,RESI,0402,,60mW Thin Film Resistor ±25ppm/℃ ±0.1% 5.1kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,5,5,0.0747,0.37,https://assets.lcsc.com/images/lcsc/96x96/20230129_RESI-PTFR0402B5K10P9_C2692696_front.jpg
C5189821,CS1608Y5V105Z160NRB,Samwha Capacitor,0603,,16V 1uF Y5V -20%~+80% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0032,0.32,https://assets.lcsc.com/images/lcsc/96x96/20230224_Samwha-Capacitor-CS1608Y5V105Z160NRB_C5189821_front.jpg
C2909630,CS1608X5R106M160NRB,Samwha Capacitor,0603,,16V 10uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0118,0.59,https://assets.lcsc.com/images/lcsc/96x96/20230107_Samwha-Capacitor-CS1608X5R106M160NRB_C2909630_front.jpg
C964837,MY-2032-04,MYOUNG,SMD,,Battery button CR2032 SMD  Battery Connectors ROHS,yes,5,5,0.1179,0.59,https://assets.lcsc.com/images/lcsc/96x96/20230104_MYOUNG-MY-2032-04_C964837_front.jpg
